員唄员呗
騾骡
駔驵
駉𬳶
駟驷
馴驯
騅骓
驄骢
駁驳
駒驹
駱骆
騮骝
駐驻
騂骍
驤骧
駭骇
驥骥
駢骈
駝驼
騸骟
預预
馭驭
驫骉
驏骣
馳驰
駘骀
駿骏
隴陇
陣阵
賀贺
駕驾
紆纡
結结
緒绪
綾绫
紜纭
綪𬘬
綁绑
紂纣
紺绀
緙缂
紲绁
縛缚
綝𬘭
緗缃
縟缛
緬缅
緘缄
絰绖
綽绰
緝缉
絪𬘡
絹绢
緋绯
紗纱
綃绡
緹缇
縲缧
綢绸
絅䌹
纓缨
納纳
紝纴
纘缵
媽妈
綉绣
緞缎
紃𬘓
維维
綿绵
繳缴
給给
絵绘
絎绗
紛纷
緩缓
綏绥
紈纨
紙纸
綹绺
絡络
絢绚
約约
終终
紋纹
紡纺
嫻娴
絆绊
繒缯
繕缮
継继
綜综
綻绽
縮缩
縫缝
綰绾
紐纽
紓纾
紖纼
紹绍
貫贯
級级
紼绋
紉纫
紀纪
緣缘
糾纠
紿绐
繅缫
鷊鹝
鴷䴕
貢贡
覡觋
鵐鹀
塤埙
赬赪
塢坞
轂毂
聵聩
勣𪟝
鶄䴖
瑣琐
瓚瓒
琿珲
擷撷
攖撄
撳揿
搗捣
摜掼
覲觐
荊荆
鵲鹊
勩勚
覯觏
賁贲
鴣鸪
鶘鹕
頍𫠆
鵓鹁
蕆蒇
蘋𬞟
蕢蒉
鸛鹳
薊蓟
蘚藓
蕷蓣
葒荭
鵏𬷕
檟槚
楨桢
櫻樱
櫧槠
靄霭
櫞橼
磧碛
鷯鹩
鵪鹌
鴯鸸
聾聋
龔龚
豶豮
賾赜
輳辏
軻轲
軑轪
軏𫐄
軛轭
輬辌
輻辐
輮𫐓
軼轶
輗𫐐
軫轸
斬斩
槧椠
輈辀
軝𬨂
輅辂
輶𬨎
輟辍
匭匦
鶠𬸘
鴎鸥
鳶鸢
覘觇
鹺鹾
顰颦
鮆𫚖
齮𬺈
齲龋
齪龊
齟龃
齕龁
齯𫠜
齘𬹼
齗龂
齔龀
齦龈
齠龆
鴞鸮
嗊唝
鷺鹭
囂嚣
鶚鹗
嗩唢
嚶嘤
吶呐
勛勋
嗚呜
顒颙
鶡鹖
顥颢
鱉鳖
鶪䴗
羈羁
輋𪨶
峴岘
嶔嵚
賙赒
罌罂
賑赈
賵赗
贔赑
貶贬
賒赊
贍赡
貽贻
賅赅
鸚鹦
鶻鹘
酇酂
頲颋
簀箦
鶖鹙
鴰鸹
簣篑
篔筼
讎雠
鵯鹎
頜颌
鴿鸽
鴒鸰
鸻鵆
鵒鹆
饌馔
餗𫗧
饉馑
饘𫗴
餃饺
饁馌
鶲鹟
鉶铏
鉦钲
鈣钙
鎘镉
鏏𬭬
鍥锲
頎颀
鷉䴘
銶𨱇
鎝𨱏
鏌镆
錨锚
鍈锳
鏢镖
鎛镈
鐔镡
鷭𬸪
錡锜
鈍钝
鍔锷
鈾铀
鉀钾
錕锟
鍶锶
鐶镮
鍘铡
鐲镯
鋌铤
錘锤
銖铢
鍭𬭤
鎪锼
鉿铪
鋝锊
鐇𫔍
鍇锴
鑱镵
銫铯
鎦镏
鎢钨
鑲镶
鎬镐
錞𬭚
鐿镱
鏃镞
鉸铰
鏑镝
鐓镦
銃铳
鉉铉
鑣镳
鏞镛
鐏𨱔
鎰镒
鏻𬭸
錈锩
鎡镃
覓觅
鎵镓
鋐𬭎
鎔镕
鉈铊
銨铵
鈕钮
鐙镫
鐍𫔎
鋟锓
錒锕
鈀钯
鏐镠
鵃鸼
鑞镴
鵟𫛭
臢臜
鸑𬸚
鱚𬶮
鰾鳔
鰊𬶠
頠𬱟
鶹鹠
魨鲀
鰐鳄
鯷鳀
鱧鳢
鮓鲊
鰶𬶭
鮠𬶏
鮸𩾃
潁颍
熲颎
鯨鲸
鱣鳣
鮫鲛
鱇𩾌
鰜鳒
鮡𬶐
鮀𬶍
鮟𩽾
鯒鲬
鴝鸲
鰼鳛
鄔邬
鯵鲹
鯔鲻
鱲𫚭
裊袅
訐讦
証证
謹谨
謨谟
譓𬤝
諴𫍯
鸇鹯
諤谔
鷲鹫
嚲亸
鶉鹑
諟𬤊
謁谒
詐诈
詵诜
訖讫
諉诿
謝谢
諛谀
謏𫍲
贇赟
鵁䴔
諗谂
訟讼
諼谖
譫谵
諄谆
誶谇
謫谪
讕谰
贛赣贑
譜谱
戇戆
諞谝
謐谧
譎谲
鷟𬸦
謬谬
詘诎
賡赓
鶊鹒
廞𫷷
鷓鹧
闍阇
闉𬮱
闃阒
閎闳
癭瘿
闑𫔶
閼阏
閣阁
閽阍
閔闵
閬阆
闒阘
闔阖
闕阙
鷁鹢
鶼鹣
鶿鹚
憒愦
惻恻
濆𣸣
瀕濒
潰溃
灝灏
鯊鲨
鶺鹡
頫𫖯
滸浒
澦滪
塚塚
鶱𬸣
窵窎
襴襕
褳裢
褌裈
皸皲
鄆郓
鴆鸩
鷴鹇
驃骠
驦骦
駓𬳵
騵𫘪
騠𫘨
馹驲
頵𫖳
屓屃
駪𬳽
鳲鸤
鸊鷿䴙
駙驸
駼𬳿
鱀𬶨
騱𫘬
騊𫘦
顙颡
鷸鹬
鶩鹜
騖骛
驎𬴊
騤骙
駃𫘝
騄𫘧
駸骎
墮堕
騭骘
隤𬯎
隕陨
鷚鹨
翬翚
綆绠
纈缬
縹缥
繻𦈡
綺绮
繚缭
紘纮
絨绒
轡辔
繰缲
繾缱
紳绅
緄绲
緦缌
繯缳
緲缈
纆𬙊
纁𫄸
綖𫄧
駑驽
紇纥
縋缒
緱缑
絺𫄨
綌绤
綬绶
綯绹
絳绛
紕纰
纕𬙋
縞缟
綧𬘯
縗缞
繶𫄷
縭缡
絞绞
締缔
縊缢
縑缣
綣绻
綈绨
縯𬙂
紞𬘘
綴缀
緡缗
綎𬘩
繆缪
緇缁
絀绌
榄𬄦
织𥿗
榪杩
霪䨙
霪䨙
𩷆鲙
戰𡃹
蔕𦷾
𡚡𫰅
鮋鲉
繮缰
告吿
鎇镅
暑暏
濘𬈿
厙厍
𧹦䚂
𪬼𫎤
尚尙
𪩮𱜞
𪩮𱜞
𣛣𬂻
擰𢴕
滯𣻉
𫅠𬙾
比𫧇
𦟼𫆝
执𢩾
嵬㟴
吊𫩒
槩㮣
𨤰𫒂
𨤰𫒂
𨤰𫒂
咢㗁
鸌鹱
𨭒𨭏
𡑳𡑱
𠺴𡀩
𠬖𠬕
𪂮𪂲
擼撸
㘓𪢌
𥐇𬑶
𪝹𫣪
抇𢪏
椓㭬
黔𪑑
𠀳𫠪
𡅯𪢖
鋥锃
綡𫟅
𨋤轳
𡮣𡭬𡮥
𨎟𫏾
𢚸𪫵
𦏄𫅝
𤧛𪼀
𩙌𬲂
𩙌𬲂
屹𪨣
戢𠺵
𢺖𱠻
鬓鬂
薴𬞊
𢩉𫼌
批𢪲
𪔠𲎚
𣡙𣡚
𣡙𣡚
𣆐𬀭
囒𪢠
𣌁𣌂
閒𫔮
屼𡵉
𣅙𣅘
鐄𨱑
𣘈𣜱𪳔
𡃋𫭕
爪𫜵
𫗂𫗁
𪹷𬋟
𬰠𩈘
鵉𪁂鸾
𣈔𣈘
嵎𡺥
𧃷𬞲
𥢅𥢆
鬗𩯮
𣎦𦣙
圯圮𡉏
𫴯𡬷
鉷𫟹
瀂澛
𫡁𫡂
𡮉𡭜𨳒
𫗄𫗃
𫗄𫗃
𫔳𫔤
𬇋𣱆
𡳒𤳰
𡳒𤳰
𡳤𡳢
𡤓𪦲
𠳙𫢼
𧡊𫌠
𬌔𬌓
𡱩𢭑
勞𤏪
𠓹𠓻𫤍
𫙔鲈
𡎥𫮋
𡹞𡹡
𠑉𫤈
𤐛𬊢
𫴼𡮤
𣦎𬆈
蘭𬞕
𧦔𪞴
𡎢𡎦
嚴㘙
𩘬𩘩
開𫔭
𬦄𧺃
鑥镥
鋦锔
𦑗𬚇
𧖰𧖱
欗𬅉
𣉹𬁊
𬁑𪱂
𠰘𠱄
𡮮𡮬
鳭𠟀
獰𤡛
𨤮𨤵
𣋂𣊿
溳涢
𫖾𬲇
巿帀
𪰮㫼
𬃱𬄮
朓脁
甘曰
戶户戸
壺壸壼壷
窺窥
攆撵
鈇𫓧
亞亚亜
惡恶悪
啞哑唖
申电
堊垩
娅婭
福福
神神
祥祥
椏桠
噁𫫇
氬氩
為为
蒍𫇭
偽伪
溈沩
媯妫
𥃑𪾝
絲丝
鷥鸶
夗夘
𠫆𪠗
稅税
脫脱
蛻蜕
兌兑
悅悦
梲棁
𫡾𫺴
漊溇
數数
耬耧
摟搂
樓楼
嘍喽
髏髅
簍篓
僂偻
鏤镂
婁娄
屨屦
屢屡
塿𪣻
擻擞
蔞蒌
藪薮
螻蝼
嶁嵝
瞜䁖
膢𦝼
瘻瘘
窶窭
褸褛
縷缕𫃵
𩯁𫙂
𱿈𡳵
𫄎𫄄
𬧻𫏻
𡂡𪢒
𤛠𬌥
俱倶
濟济済
齋斎
齊齐斉
擠挤
霽霁
躋跻
儕侪
臍脐
劑剂剤
薺荠
蠐蛴
齏齑韲
隮𬯀
𩵃𩴚
𬀛𪯼
貿贸
莊荘
裝装
狀状
壯壮
妝妆
寢寝
冊册
柵栅
刪删
姍姗
𪬪𬕷
笯𪥯
𪬪𬕷
片爿
𤗹𬌌
繩绳縄
竈竃
蠅蝇蝿
黽黾
澠渑
黿鼋
鼉鼍
鄳𫑡
僶𠊟
晚晩
齬龉
語语
鋙铻
𬃂𬂽
齬龉
語语
鋙铻
𬃂𬂽
龜龟亀
值値
足疋
諝谞
疍𨀏
騁骋
鋨锇
軾轼
𢀲𱜝
𢀲𱜝
母毋毌
六宀
每毎
冉冄
高髙
骼髂
几丌
辵辶
戛戞
汽汔
晚晩
瘦痩
搜捜
丸丮
京亰
敘敍
冂冖
蔥葱
傯偬
忾忔
彔录彑
綠緑绿
錄録
別剐别
內内
㓠𪟂𠛤
沙𣲦
剳𦼃
鷂鹞
剒𠝖
刦刧
鮪鲔
績绩
東东
陳陈
蝀𬟽
伈𠇍
鶇鸫
淥渌
釗釖钊
凍冻
暖㬊
祿禄
噴喷
乞气
羋芈
另呙
束𣐄
崠岽
嗄𫫫
棟栋
𠝺𠝼
𪟒𫦓
仩𠆳
术朮
剝剥
𦚗𬚴
閭闾
⾜⽦
鏹镪
焰焔
饅馒
鰲鳌
鴟鸱
陷陥
䐗𬛃
𦟐𦟖
鋁铝
絕絶绝
稻稲
汎𪵬
臼旧
𧀜𬞨
鈸钹
川巛
兒児
⽢⽈
蚸蝷
⼡⼢
鰻鳗
縵缦
櫚榈
贅赘
⾏⼻
郡𨛦
資资
⽚⽙
諶谌
𣠩𣞎
謾谩
沓泔
月肉
腩𬛈
鈑钣
𦙤𬚱
𦙦𬚲
驁骜
⽉⾁
乡邑
𠔮𫥣
⼕⼖
研硏
赤𬉵
善𦎍
黃黄
飯饭
𬛘𫆸
販贩
詆诋
𦠯𬚿
闞阚
⼌⼍
𥉰𥈺
胒𫆜
紱绂
西襾
騷骚
鏝镘
⼁⼅
釔钇
鄉郷
𦟂𫆭
訛讹
並竝
詡诩
來枞
在扗
朋朒
糵糱
𠻼𡃻
实実
⼈⼊
仝仜
喜囍
廾屮
囪匆囱囟
之士
父尹
⼶⼬
汆氽
⼆⼎
勻匀
蘖櫱
四网
人入
鉛铅
痲痳
尤尢
陝陜
攴攵
鈞钧
摇揺
