人	人入
艹一廾刂	荊荆
廿日鳥	鵲鹊
廿乚貝力	勩勚
甘冂土見	覯觏
十艹貝	賁贲
十口鳥	鴣鸪
十口月鳥	鶘鹕
十又頁	頍𫠆
十冖子鳥	鵓鹁
艹戊貝	蕆蒇
艹止癶頁	蘋𬞟
艹中一貝	蕢蒉
艹口隹鳥	鸛鹳
艹魚刂	薊蓟
艹魚羊	蘚藓
艹予頁	蕷蓣
艹糸工	葒荭
甫鳥	鵏𬷕
木西貝	檟槚
木卜貝	楨桢
木貝貝女	櫻樱
木人人	來枞
木言耂	櫧槠
雨言勹亡	靄霭
木糸彑豕	櫞橼
石丰貝	磧碛
一火小鳥	鷯鹩
大申鳥	鵪鹌
而鳥	鴯鸸
龍耳	聾聋
龍艹廾	龔龚
豕十艹貝	豶豮
臣丰貝	賾赜
車丰一大	輳辏
車丁口	軻轲
車大	軑轪
車兀	軏𫐄
車厂卩	軛轭
車亠口小	輬辌
車一口田	輻辐
車予丿木	輮𫐓
車手丶	軼轶
車臼儿	輗𫐐
車人彡	軫轸
車斤	斬斩
車斤木	槧椠
車舟	輈辀
車氏	軝𬨂
車夂口	輅辂
車八酉	輶𬨎
車又又又	輟辍
匚車九	匭匦
匚日女鳥	鶠𬸘
匚乂鳥	鴎鸥
弋鳥	鳶鸢
卜口見	覘觇
卜圍羊工	鹺鹾
虎业見	覷觑
止癶鬼十	顰颦
止匕魚	鮆𫚖
齒大丁口	齮𬺈
齒丿冂厶	齲龋
齒足	齪龊
齒且	齟龃
齒𠂉乙	齕龁
齒臼儿	齯𫠜
齒人刂	齘𬹼
齒斤	齗龂
齒匕	齔龀
齒艮	齦龈
齒召	齠龆
口丂鳥	鴞鸮
口工貝	嗊唝
足夂口鳥	鷺鹭
口口頁口	囂嚣
口口丂鳥	鶚鹗
口小貝	嗩唢
口貝貝女	嚶嘤
口冂人	吶呐
口貝力	勛勋
口烏	嗚呜
日冂厶頁	顒颙
日勹亡鳥	鶡鹖
日亠小頁	顥颢
巾⺍攵魚	鱉鳖
目犬鳥	鶪䴗
四革馬	羈羁
山大車	輋𪨶
山見	峴岘
山金欠	嶔嵚
貝用口	賙赒
貝貝午凵	罌罂
貝辰	賑赈
貝冖二目	賵赗
貝貝貝	贔赑
貝丿之	貶贬
貝人示	賒赊
貝𠂊八言	贍赡
貝厶口	貽贻
貝亠凵人	賅赅
貝貝女鳥	鸚鹦
骨鳥	鶻鹘
牛儿貝阝	酇酂
廴亻土頁	頲颋
竹丰貝	簀箦
竹木𠂊貝	籟籁
禾火鳥	鶖鹙
舌鳥	鴰鸹
竹中一貝	簣篑
竹口貝	篔筼
隹言隹	讎雠
鬼十鳥	鵯鹎
鬼一人人	魎魉
亼口頁	頜颌
亼口鳥	鴿鸽
亼月刂見	覦觎
亼龴鳥	鴒鸰
行鳥	鵆鸻
八人口鳥	鵒鹆
食巳艹廾	饌馔
食木口	餗𫗧
食廿口丰	饉馑
食亠日一	饘𫗴
食日四又	饅馒
食亠八乂	餃饺
食土厶皿	饁馌
八厶习鳥	鶲鹟
金一廾刂	鉶铏
金一止	鉦钲
金下乚	鈣钙
金一八丁	鎘镉
金丰丰彐	鏏𬭬
金丰刀大	鍥锲
斤頁	頎颀
𠂆虎鳥	鷉䴘
金十⺍丶	銶𨱇
金艹亼口	鎝𨱏
金艹日大	鏌镆
金艹田	錨锚
金艹冂大	鍈锳
金西示	鏢镖
金甫寸	鎛镈
金西日十	鐔镡
釆田鳥	鷭𬸪
金大丁口	錡锜
金一屮	鈍钝
金口一丂	鍔锷
金由	鈾铀
金甲	鉀钾
金日四又	鏝镘
金日匕匕	錕锟
金田心	鍶锶
金四口衤	鐶镮
金貝刂	鍘铡
金四勹虫	鐲镯
金廴亻土	鋌铤
金千艹二	錘锤
金𠂉木	銖铢
金亻コ矢	鍭𬭤
金臼丨又	鎪锼
金亼口	鉿铪
金爪寸	鋝锊
金釆田	鐇𫔍
金匕匕白	鍇锴
金召儿丶	鑱镵
金𠂊巴	銫铯
金卯田	鎦镏
金烏	鎢钨
金衣口甘	鑲镶
金亠冂口	鎬镐
金亠口子	錞𬭚
金立日心	鐿镱
金方𠂉矢	鏃镞
金亠八乂	鉸铰
金亠十口	鏑镝
金亠子攵	鐓镦
金亠厶儿	銃铳
金亠幺	鉉铉
金鹿火	鑣镳
金广尹用	鏞镛
金八酉寸	鐏𨱔
金䒑八皿	鎰镒
金米夕㐄	鏻𬭸
金半卩	錈锩
金䒑幺幺	鎡镃
爪見	覓觅
金宀豕	鎵镓
金宀𠂇厶	鋐𬭎
金穴人口	鎔镕
金宀匕	鉈铊
金宀女	銨铵
金彐丨	鈕钮
金癶口䒑	鐙镫
金予八口	鐍𫔎
金彐冖又	鋟锓
金阝丁口	錒锕
金乙	釔钇
金巴	鈀钯
金弓口虫	鏹镪
金习人彡	鏐镠
舟鳥	鵃鸼
金巛乂巛	鑞镴
風卜口	颭飐
