的	白勹丶
欲	八人口欠
源	氵厂白小
官	宀㠯
戲	虎一口䒑戈
寄	宀大丁口
古	十口
首	八頁
思	田心
橋	木丿大口冂口
燈	火癶一口䒑
郭	亠口子阝
亮	亠口冖几
干	干
窮	穴身弓
粉	米八刀
爆	火日艹廾水
韓	十日十㐄口㐄
戴	十戈田艹廾
然	䏑犬火
衝	行千日二
雷	雨田
蓋	艹土厶皿
港	氵艹廾巳
租	禾且
狼	犭丶艮
蘭	艹門木日
狂	犭王
布	𠂇巾
引	弓丨
亞	亞
齊	齊
隻	隹又
員	口貝
佛	亻弓刂
食	食
船	舟八口
今	亼㇕
恨	心艮
宋	宀木
銀	金艮
猛	犭子皿
客	宀夂口
友	𠂇又
領	亼龴頁
句	勹口
斯	甘廾斤
沙	氵小丿
戰	口口甲一戈
望	亡月王
沖	氵中
丁	丁
園	圍土口衤
祝	示口儿
鄭	八酉大阝
界	田人刂
抗	扌亠几
步	止癶
河	氵丁口
賊	貝戈𠂇
尚	小冂口
似	亻厶人
羊	羊
福	示一口田
必	弋八
遭	之一曲日
煙	火西土
否	不口
端	立山而
設	言殳
伊	亻尹
秦	丰禾
秋	禾火
毒	丰母
架	力口木
熊	厶月匕匕火
持	扌土寸
廣	广廿由八
折	扌斤
意	立日心
基	甘廾土
困	圍木
圈	圍半卩
迷	之米
勝	月半力
史	口乂
甲	甲
搬	扌舟殳
獲	犭艹隹又
紙	糸氏
乃	㇕丿
右	𠂇口
塔	土艹亼口
準	氵隹十
院	阝宀一兀
訂	言丁
散	廿月攵
松	木人厶
喜	士口䒑口
洋	氵羊
語	言二乂口
呈	口王
治	氵厶口
降	阝夂㐄
峯	山夂丰
漢	氵艹口夫
富	宀一口田
姓	女生
料	米冫十
結	糸士口
閃	門人
梅	木𠂉母
批	扌匕匕
足	足
寧	宀心皿丁
醒	酉日生
精	米丰月
瘦	疒臼丨又
槍	木人户口
軟	車欠
支	十又
杜	木土
麗	一冂丶一冂丶鹿
展	尸廿衤
興	臼冂一口廾
依	亻衣
倍	亻立口
康	广尹⺍
堂	小冖口土
救	十⺍丶攵
鍵	金廴彐キ
製	牛巾刂衣
筆	竹彐キ
音	立日
世	廿乚
著	艹耂
仲	亻中
舞	𠂉廿廿夕㐄
守	宀寸
露	雨足夂口
冒	日目
昇	日丿廾
唄	口貝
榮	火火冖木
弱	弓冫弓冫
影	日亠口小彡
州	⺍川
替	夫夫日
陸	阝土儿土
曲	曲
願	厂白小頁
牙	牙
箱	竹木目
嚇	口土火土火
測	氵貝刂
莊	艹爿士
寬	宀艹見丶
遍	之户冊
細	糸田
狀	爿犬
巴	巴
武	戈止
湖	氵十口月
程	禾口王
柳	木卯
偏	亻户冊
實	宀母貝
印	臼卩
味	口二木
鎖	金小貝
衆	丿皿亻
零	雨亼龴
環	王四一口衤
角	𠂊用
紫	止匕糸
島	鳥山
耶	耳阝
熟	亠口子丸火
孔	子乚
寸	寸
標	木西示
厚	厂日子
答	竹亼口
社	示土
顧	户隹頁
順	川頁
滅	氵戊一火
運	之冖車
輪	車亼冊
兼	禾禾彐
溫	氵圍人皿
娘	女丶艮
登	癶一口䒑
微	行山一几攵
佳	亻土土
瞭	目一火日小
雅	牙隹
魔	广木木鬼
司	㇕一口
志	士心
奇	大丁口
編	糸户冊
瓦	瓦
居	尸十口
盛	戊㇕皿
虎	虎
后	𠂆一口
洞	氵冂一口
台	厶口
形	一廾彡
負	𠂊貝
川	川
圓	圍口貝
充	亠厶儿
害	宀丰口
免	召儿
景	日亠口小
擬	扌匕矢龴足
曹	一曲日
曉	日土土土兀
煮	耂火
良	丶艮
吐	口土
肥	月巴
仙	亻山
宮	宀口丿口
酸	酉厶八夂
侯	亻コ矢
塞	宀甘八土
勁	一巛工力
欠	欠
創	人户口刂
擦	扌宀䏑又示
爾	一八巾乂乂乂乂
藏	艹戈爿臣
皆	匕匕白
永	丶水
夫	夫
琴	王王亼㇕
錄	金彑水
宏	宀𠂇厶
例	亻一夕刂
專	一日厶寸
視	示見
兄	口儿
善	羊䒑口
增	土八四日
施	方𠂉也
淚	氵户犬
暗	日立日
忍	刀丶心
肯	止月
母	母
聖	耳口王
橫	木廿一由八
遊	之方𠂉子
致	至攵
宗	宀示
偉	亻㐄口㐄
麻	广木木
怒	女又心
爭	爪尹
腰	月西女
肖	小月
淨	氵爪尹
罪	四非
仔	亻子
彈	弓口口甲一
丑	彐丨
減	氵戊一口
敏	𠂉母攵
義	羊手戈
棒	木丰キ
臭	自大
響	乚凵艮阝立日
聞	門耳
計	言十
校	木亠八乂
氏	氏
糖	米广尹口
吉	士口
押	扌甲
谷	八人口
衣	衣
宇	宀丁一
雜	亠人人木隹
末	一木
告	牛口
耐	而寸
董	艹千日二
醉	酉亠人人十
妹	女二木
鋼	金冂䒑山
蔣	艹爿䏑寸
幣	巾⺍攵巾
宜	宀且
尼	尸匕
灰	𠂇火
評	言干八
維	糸隹
屋	尸至
幾	幺幺戈人
楚	木木足
館	食宀㠯
丹	冊丶
乘	禾北
認	言刀丶心
刻	亠凵人刂
俊	亻厶八夂
芳	艹方
抄	扌小丿
酷	酉牛口
京	亠口小
嚴	口口厂丁耳攵
返	之厂又
廳	广耳王十四一心
魯	魚日
瑞	王山而
仁	亻二
註	言丶王
添	氵一大心
催	亻山隹
具	目廾
威	戊一女
劇	虎豕刂
核	木亠凵人
農	曲辰
瓶	䒑廾瓦
銅	金冂一口
犯	犭卩
族	方𠂉矢
季	禾子
尋	彐工口寸
顯	日幺幺火頁
骨	骨
黎	禾丿刀人水
騎	馬大丁口
密	宀弋八山
士	士
術	行木丶
祇	示氏
洪	氵艹廾
訊	言乙十
禮	示曲一口䒑
容	穴人口
輝	小兀冖車
射	身寸
智	矢口日
索	十冖糸
燕	廿口北火
撞	扌立田土
膜	月艹日大
普	立立日
竹	竹竹
側	亻貝刂
諾	言艹𠂇口
呂	口丿口
