人	人入
魚白王	鳇鰉
魚亻寸	鲋鮒
魚臼儿	鲵鯢
魚爪午凵	鳐鰩
鳥几	凫鳧
魚勹巳	鲍鮑
魚方	鲂魴
魚羊	鲜鮮
魚八酉寸	鳟鱒
魚米夕㐄	鳞鱗
魚羊䒑口	鳝鱔
魚宀一兀	鲩鯇
鳥宀匕	鸵鴕
魚艮卩	鲫鯽
魚刀	鱽魛
夕卩鳥	鸳鴛
烏	乌烏
鳥木	枭梟
魚厶口	鲐鮐
言丁一	𬣙訏
言丁	订訂
言丁口	诃訶
言干八	评評
言土土	诖詿
言土寸	诗詩
言工	讧訌
言士口	诘詰
言耂	诸諸
言工人人	诬誣
言耒	诔誄
言丰月	请請
言耳又	诹諏
言寸	讨討
言十	计計
言甘木	谋謀
言廿乚木	谍諜
言艹𠂇口	诺諾
言十口	诂詁
言艹亡川	谎謊
言甘匚八	谌諶
言西土	𬤇諲
言西日十	谭譚
言木四	谏諫
言豕	诼諑
言𠂇火	诙詼
言弋工	试試
言匚王	诓誆
言戈廾	诫誡
言牙	讶訝
言旡旡日	谮譖
言戊㇕	诚誠
言匚コ	讵詎
言卜	讣訃
言虎匚一	谑謔
言口一大	误誤
亠圍一頁	颤顫
亡口貝凡	赢贏
言非	诽誹
言田木	课課
言日四又	谩謾
言田八夂	谡謖
言小月	诮誚
言田月	谓謂
言且	诅詛
言冂口	诇詗
言冂一口	𫍣詷
言山	讪訕
言冂人	讷訥
言午	许許
言舌	话話
言牛口	诰誥
言𠂉木	诛誅
立丿彡頁	颜顔
言禾㇕丿	诱誘
言𠂉母	诲誨
言川	训訓
言隹	谁誰
言隹火	谯譙
言亼月刂	谕諭
言人王	诠詮
言人非一	谶讖
言人彡	诊診
言𠂆一口	诟詬
言斤	䜣訢
言爪午凵	谣謡
言犭王	诳誑
亠几頁	颃頏
言風	讽諷
言𠂊厂卩	诡詭
言勹日	询詢
言匕日	诣詣
言𠂊臼	谄諂
言匕匕白	谐諧
言氏丶	诋詆
言𠂊尹	诤諍
言亠口小	谅諒
言立日	谙諳
言立丿彡	谚諺
辛言辛	辩辯
言亠冖巾	谛諦
言亠冖方	谤謗
言方	访訪
文門木四	斓斕
言羊	详詳
言䒑八皿	谥謚
言火火	谈談
言之米	谜謎
言禾禾彐	谦謙
言冖車	诨諢
言之一㠯	谴譴
言宀且	谊誼
言宀丿七	诧詫
言㇕大	诀訣
言皮	诐詖
言龴用	诵誦
言㇕一口	词詞
言乙十	讯訊
言召	诏詔
言廴丿止	诞誕
言刀丶	讱訒
言巳	记記
言厶口	诒詒
亠凵人頁	颏頦
辛糸辛	辫辮
門土土	闺閨
門三	闫閆
冫馬	冯馮
疒木𠂊貝	癞癩
門木四	阑闌
广車	库庫
門大申	阉閹
广龍	庞龐
門戈口一	阈閾
門圍木	阃閫
門甲	闸閘
門日日	阊閶
門一	闩閂
門王	闰閏
門木	闲閑
門虫	闽閩
門言	訚誾
門馬	闯闖
門亻戈	阀閥
門人	闪閃
門爪冖又	阌閿
疒風	疯瘋
冫欠貝	资資
門𠂊臼	阎閻
疒魚羊	癣癬
門亠几	闶閌
門亠凵人	阂閡
門八口儿	阅閲閱
門氵舌	阔闊
門心	闷悶
門癶一大	阕闋
門㇕耳攵	阚闞
疒阝彐心	瘾癮
心長	怅悵
羊魚	鲝鯗
心十艹貝	愤憤
心木𠂊貝	懒懶
火頁	烦煩
心車斤	惭慚
心門文	悯憫
火門心	焖燜
心冖車	恽惲
弋弓鳥	鹈鵜
心母貝	惯慣
氵工鳥	鸿鴻
氵丰貝	渍漬
氵龍	泷瀧
氵車斤	渐漸
氵之車	涟漣
氵卜貝	浈湞
氵貝	𬇙浿
氵魚	渔漁
氵門王	润潤
氵門木四	澜瀾
氵門日	涧澗
氵冖車	浑渾
⺍冖見	觉覚
氵弓長	涨漲
氵糸隹	潍濰
宀甘八貝	赛賽
宀甘八馬	骞騫
宀龍	宠寵
示卜貝	祯禎
之中一貝	遗遺
示見	视視
冖隹鳥	鹤鶴
宀夂口頁	额額
示馬	祃禡
衤广車	裤褲
馬丰石	𬴃騞
馬耳又亻	骤驟
馬甘廾	骐騏
馬大丁口	骑騎
馬大	驮馱
馬匚乂	驱駆
馬圍大	骃駰
馬口乂	驶駛
馬非	𬴂騑
馬田木	骒騍
馬田糸	骡騾
馬且	驵駔
馬冂口	𬳶駉
馬四	驷駟
馬川	驯馴
馬隹	骓騅
馬囟夂心	骢驄
馬乂乂	驳駁
馬勹口	驹駒
馬夂口	骆駱
馬卯田	骝騮
馬丶王	驻駐
馬辛	骍騂
馬衣口甘	骧驤
馬亠凵人	骇駭
馬北艹廾	骥驥
馬䒑廾	骈駢
馬宀匕	驼駝
馬户习习	骟騸
予頁	预預
馬又	驭馭
馬馬馬	骉驫
馬尸子子	骣驏
馬也	驰馳
馬厶口	骀駘
馬厶八夂	骏駿
阝龍	陇隴
阝車	阵陣
力口貝	贺賀
力口馬	驾駕
糸丁一	纡紆
糸士口	结結
糸耂	绪緒
糸土八夂	绫綾
糸二厶	纭紜
糸丰月	𬘬綪
糸丰阝	绑綁
糸寸	纣紂
糸甘	绀紺
糸革	缂緙
糸廿乚	绁紲
糸甫寸	缚縛
糸木木	𬘭綝
糸木目	缃緗
糸辰寸	缛縟
糸頁圍	缅緬
糸戊一口	缄緘
糸至	绖絰
糸卜日十	绰綽
糸口耳	缉緝
糸圍大	𬘡絪
糸口月	绢絹
糸非	绯緋
糸日四又	缦縵
糸小丿	纱紗
糸小月	绡綃
糸日一止	缇緹
糸田糸	缧縲
糸用口	绸綢
糸冂口	䌹絅
糸貝貝女	缨纓
糸冂人	纳納
糸丿士	纴紝
糸牛儿貝	缵纘
女馬	妈媽
糸禾㇕丿	绣綉
糸厂三殳	缎緞
糸川	𬘓紃
糸隹	维維
糸白巾	绵綿
糸白方攵	缴繳
糸亼口	给給
糸人二厶	绘絵
糸行	绗絎
糸八刀	纷紛
糸爪𠂇又	缓緩
糸爪女	绥綏
糸丸	纨紈
糸氏	纸紙
糸夂卜口	绺綹
糸夂口	络絡
糸勹日	绚絢
糸勹丶	约約
糸夂冫	终終
糸𠂊巴	绝絶
糸文	纹紋
糸方	纺紡
女門木	娴嫻
糸半	绊絆
糸八四日	缯繒
糸羊䒑口	缮繕
糸米乚	继継
糸宀示	综綜
糸宀一止	绽綻
糸宀一白	缩縮
糸之夂丰	缝縫
糸宀㠯	绾綰
糸彐丨	纽紐
糸彐水	绿緑
糸予	纾紓
糸弓丨	纼紖
糸召	绍紹
母貝	贯貫
糸𠂊又	级級
糸弓刂	绋紼
糸刀丶	纫紉
糸巳	纪紀
糸彑豕	缘緣
糸凵	纠糾
糸厶口	绐紿
糸巛田木	缫繅
一口丁鳥	鹝鷊
一夕甲一	殚殫
